R1,R2,erro
0.001,0.001,0.08692
0.001,0.002,0.08694
0.001,0.003,0.08695
0.001,0.004,0.08697
0.001,0.005,0.08698
0.001,0.006,0.087
0.001,0.007,0.08702
0.001,0.008,0.08703
0.001,0.009,0.08705
0.001,0.01,0.08706
0.001,0.011,0.08708
0.001,0.012,0.08709
0.001,0.013,0.08711
0.001,0.014,0.08712
0.001,0.015,0.08714
0.001,0.016,0.08715
0.001,0.017,0.08717
0.001,0.018,0.08718
0.001,0.019,0.0872
0.001,0.02,0.08721
0.001,0.021,0.08723
0.001,0.022,0.08724
0.001,0.023,0.08726
0.001,0.024,0.08727
0.001,0.025,0.08729
0.001,0.026,0.0873
0.001,0.027,0.08732
0.001,0.028,0.08733
0.001,0.029,0.08734
0.001,0.03,0.08736
0.001,0.031,0.08737
0.001,0.032,0.08739
0.001,0.033,0.0874
0.001,0.034,0.08742
0.001,0.035,0.08743
0.001,0.036,0.08745
0.001,0.037,0.08746
0.001,0.038,0.08747
0.001,0.039,0.08749
0.001,0.04,0.0875
0.001,0.041,0.08752
0.001,0.042,0.08753
0.001,0.043,0.08754
0.001,0.044,0.08756
0.001,0.045,0.08757
0.001,0.046,0.08759
0.001,0.047,0.0876
0.001,0.048,0.08761
0.001,0.049,0.08763
0.001,0.05,0.08764
0.001,0.051,0.08766
0.001,0.052,0.08767
0.001,0.053,0.08768
0.001,0.054,0.0877
0.001,0.055,0.08771
0.001,0.056,0.08772
0.001,0.057,0.08774
0.001,0.058,0.08775
0.001,0.059,0.08776
0.001,0.06,0.08778
0.001,0.061,0.08779
0.001,0.062,0.08781
0.001,0.063,0.08782
0.001,0.064,0.08783
0.001,0.065,0.08784
0.001,0.066,0.08786
0.001,0.067,0.08787
0.001,0.068,0.08788
0.001,0.069,0.0879
0.001,0.07,0.08791
0.001,0.071,0.08792
0.001,0.072,0.08794
0.001,0.073,0.08795
0.001,0.074,0.08796
0.001,0.075,0.08798
0.001,0.076,0.08799
0.001,0.077,0.088
0.001,0.078,0.08802
0.001,0.079,0.08803
0.001,0.08,0.08804
0.001,0.081,0.08805
0.001,0.082,0.08807
0.001,0.083,0.08808
0.001,0.084,0.08809
0.001,0.085,0.0881
0.001,0.086,0.08812
0.001,0.087,0.08813
0.001,0.088,0.08814
0.001,0.089,0.08816
0.001,0.09,0.08817
0.001,0.091,0.08818
0.001,0.092,0.08819
0.001,0.093,0.0882
0.001,0.094,0.08822
0.001,0.095,0.08823
0.001,0.096,0.08824
0.001,0.097,0.08826
0.001,0.098,0.08827
0.001,0.099,0.08828
0.001,0.1,0.08829
0.001,0.101,0.0883
0.001,0.102,0.08832
0.001,0.103,0.08833
0.001,0.104,0.08834
0.001,0.105,0.08835
0.001,0.106,0.08837
0.001,0.107,0.08838
0.001,0.108,0.08839
0.001,0.109,0.0884
0.001,0.11,0.08841
0.001,0.111,0.08843
0.001,0.112,0.08844
0.001,0.113,0.08845
0.001,0.114,0.08846
0.001,0.115,0.08847
0.001,0.116,0.08849
0.001,0.117,0.0885
0.001,0.118,0.08851
0.001,0.119,0.08852
0.001,0.12,0.08853
0.001,0.121,0.08854
0.001,0.122,0.08856
0.001,0.123,0.08857
0.001,0.124,0.08858
0.001,0.125,0.08859
0.001,0.126,0.0886
0.001,0.127,0.08862
0.001,0.128,0.08863
0.001,0.129,0.08864
0.001,0.13,0.08865
0.001,0.131,0.08866
0.001,0.132,0.08867
0.001,0.133,0.08868
0.001,0.134,0.0887
0.001,0.135,0.08871
0.001,0.136,0.08872
0.001,0.137,0.08873
0.001,0.138,0.08874
0.001,0.139,0.08875
0.001,0.14,0.08877
0.001,0.141,0.08878
0.001,0.142,0.08879
0.001,0.143,0.0888
0.001,0.144,0.08881
0.001,0.145,0.08882
0.001,0.146,0.08883
0.001,0.147,0.08884
0.001,0.148,0.08886
0.001,0.149,0.08887
0.001,0.15,0.08888
0.001,0.151,0.08889
0.001,0.152,0.0889
0.001,0.153,0.08891
0.001,0.154,0.08892
0.001,0.155,0.08893
0.001,0.156,0.08895
0.001,0.157,0.08896
0.001,0.158,0.08897
0.001,0.159,0.08898
0.001,0.16,0.08899
0.001,0.161,0.089
0.001,0.162,0.08901
0.001,0.163,0.08902
0.001,0.164,0.08903
0.001,0.165,0.08904
0.001,0.166,0.08906
0.001,0.167,0.08907
0.001,0.168,0.08908
0.001,0.169,0.08909
0.001,0.17,0.0891
0.001,0.171,0.08911
0.001,0.172,0.08912
0.001,0.173,0.08913
0.001,0.174,0.08914
0.001,0.175,0.08915
0.001,0.176,0.08916
0.001,0.177,0.08917
0.001,0.178,0.08919
0.001,0.179,0.0892
0.001,0.18,0.08921
0.001,0.181,0.08922
0.001,0.182,0.08923
0.001,0.183,0.08924
0.001,0.184,0.08925
0.001,0.185,0.08926
0.001,0.186,0.08927
0.001,0.187,0.08928
0.001,0.188,0.08929
0.001,0.189,0.0893
0.001,0.19,0.08931
0.001,0.191,0.08932
0.001,0.192,0.08933
0.001,0.193,0.08934
0.001,0.194,0.08936
0.001,0.195,0.08937
0.001,0.196,0.08938
0.001,0.197,0.08939
0.001,0.198,0.0894
0.001,0.199,0.08941
0.001,0.2,0.08942
0.002,0.001,0.08689
0.002,0.002,0.08691
0.002,0.003,0.08692
0.002,0.004,0.08694
0.002,0.005,0.08695
0.002,0.006,0.08697
0.002,0.007,0.08699
0.002,0.008,0.087
0.002,0.009,0.08702
0.002,0.01,0.08703
0.002,0.011,0.08705
0.002,0.012,0.08706
0.002,0.013,0.08708
0.002,0.014,0.08709
0.002,0.015,0.08711
0.002,0.016,0.08712
0.002,0.017,0.08714
0.002,0.018,0.08715
0.002,0.019,0.08717
0.002,0.02,0.08718
0.002,0.021,0.0872
0.002,0.022,0.08721
0.002,0.023,0.08723
0.002,0.024,0.08724
0.002,0.025,0.08726
0.002,0.026,0.08727
0.002,0.027,0.08729
0.002,0.028,0.0873
0.002,0.029,0.08732
0.002,0.03,0.08733
0.002,0.031,0.08735
0.002,0.032,0.08736
0.002,0.033,0.08737
0.002,0.034,0.08739
0.002,0.035,0.0874
0.002,0.036,0.08742
0.002,0.037,0.08743
0.002,0.038,0.08745
0.002,0.039,0.08746
0.002,0.04,0.08747
0.002,0.041,0.08749
0.002,0.042,0.0875
0.002,0.043,0.08752
0.002,0.044,0.08753
0.002,0.045,0.08754
0.002,0.046,0.08756
0.002,0.047,0.08757
0.002,0.048,0.08759
0.002,0.049,0.0876
0.002,0.05,0.08761
0.002,0.051,0.08763
0.002,0.052,0.08764
0.002,0.053,0.08765
0.002,0.054,0.08767
0.002,0.055,0.08768
0.002,0.056,0.0877
0.002,0.057,0.08771
0.002,0.058,0.08772
0.002,0.059,0.08774
0.002,0.06,0.08775
0.002,0.061,0.08776
0.002,0.062,0.08778
0.002,0.063,0.08779
0.002,0.064,0.0878
0.002,0.065,0.08782
0.002,0.066,0.08783
0.002,0.067,0.08784
0.002,0.068,0.08786
0.002,0.069,0.08787
0.002,0.07,0.08788
0.002,0.071,0.0879
0.002,0.072,0.08791
0.002,0.073,0.08792
0.002,0.074,0.08794
0.002,0.075,0.08795
0.002,0.076,0.08796
0.002,0.077,0.08797
0.002,0.078,0.08799
0.002,0.079,0.088
0.002,0.08,0.08801
0.002,0.081,0.08803
0.002,0.082,0.08804
0.002,0.083,0.08805
0.002,0.084,0.08806
0.002,0.085,0.08808
