R1,R2,erro
0.01,0.01,0.07924585978190042
0.01,0.02,0.07938891092936136
0.01,0.03,0.07952878316243428
0.01,0.04,0.07966547648111917
0.01,0.05,0.07979835510253844
0.01,0.06,0.0799286905924473
0.01,0.07,0.08005521138509053
0.01,0.08,0.08017855326334573
0.01,0.09,0.08030062357584573
0.01,0.1,0.08041951497395772
0.01,0.11,0.08053777058919209
0.01,0.12,0.08065093994140562
0.01,0.13,0.08076474507649678
0.01,0.14,0.08087409973144469
0.01,0.15,0.08098345438639261
0.01,0.16,0.0810896301269525
0.01,0.17,0.0811951700846348
0.01,0.18,0.08129816691080667
0.01,0.19,0.08139925638834573
0.01,0.2,0.08149971008300719
0.02,0.01,0.07894513448079366
0.02,0.02,0.079090728759765
0.02,0.03,0.07923060099283792
0.02,0.04,0.07936920166015562
0.02,0.05,0.07950398763020772
0.02,0.06,0.07963432312011656
0.02,0.07,0.079762115478515
0.02,0.08,0.07988736470540303
0.02,0.09,0.08001070658365823
0.02,0.1,0.08013023376464781
0.02,0.11,0.08024848937988219
0.02,0.12,0.08036483764648375
0.02,0.13,0.08047737121581969
0.02,0.14,0.08058863321940042
0.02,0.15,0.08069862365722594
0.02,0.16,0.08080607096354105
0.02,0.17,0.08091224670410094
0.02,0.18,0.08101587931315042
0.02,0.19,0.0811195119221999
0.02,0.2,0.08122060139973897
0.03,0.01,0.07865521748860616
0.03,0.02,0.07880144755045511
0.03,0.03,0.07894386291503844
0.03,0.04,0.07908309936523375
0.03,0.05,0.07921788533528584
0.03,0.06,0.0793494923909499
0.03,0.07,0.07947855631510355
0.03,0.08,0.07960571289062437
0.03,0.09,0.07972905476887959
0.03,0.1,0.07985048929850198
0.03,0.11,0.07996874491373636
0.03,0.12,0.08008509318033792
0.03,0.13,0.08020080566406187
0.03,0.14,0.08031206766764261
0.03,0.15,0.08042332967122334
0.03,0.16,0.08053141276041605
0.03,0.17,0.08063886006673116
0.03,0.18,0.08074312845865823
0.03,0.19,0.08084739685058531
0.03,0.2,0.08094975789387959
0.04,0.01,0.0783735656738275
0.04,0.02,0.07852170308430928
0.04,0.03,0.07866475423177022
0.04,0.04,0.07880399068196553
0.04,0.05,0.07894004821777281
0.04,0.06,0.0790741984049473
0.04,0.07,0.07920389811197855
0.04,0.08,0.07933232625325459
0.04,0.09,0.0794563039143874
0.04,0.1,0.079579010009765
0.04,0.11,0.07969790140787698
0.04,0.12,0.07981552124023375
0.04,0.13,0.07993186950683531
0.04,0.14,0.08004376729329366
0.04,0.15,0.08015566507975198
0.04,0.16,0.0802650197346999
0.04,0.17,0.080372467041015
0.04,0.18,0.0804792785644525
0.04,0.19,0.08058354695637959
0.04,0.2,0.08068590799967386
0.05,0.01,0.07810208638509053
0.05,0.02,0.0782502237955723
0.05,0.03,0.07839518229166605
0.05,0.04,0.07853505452473897
0.05,0.05,0.07867238362630147
0.05,0.06,0.07880716959635355
0.05,0.07,0.0789375050862624
0.05,0.08,0.07906656901041605
0.05,0.09,0.07919118245442647
0.05,0.1,0.07931516011555928
0.05,0.11,0.07943468729654886
0.05,0.12,0.07955294291178323
0.05,0.13,0.0796699269612624
0.05,0.14,0.07978436787923116
0.05,0.15,0.07989690144856709
0.05,0.16,0.08000689188639261
0.05,0.17,0.08011561075846292
0.05,0.18,0.08022178649902281
0.05,0.19,0.0803266906738275
0.05,0.2,0.08043095906575459
0.06,0.01,0.07783760070800719
0.06,0.02,0.07798700968424417
0.06,0.03,0.07813260396321553
0.06,0.04,0.07827311197916605
0.06,0.05,0.07841107686360616
0.06,0.06,0.07854713439941344
0.06,0.07,0.0786781056721999
0.06,0.08,0.07880780537923116
0.06,0.09,0.07893369038899678
0.06,0.1,0.07905766805012959
0.06,0.11,0.07918037414550719
0.06,0.12,0.07929862976074156
0.06,0.13,0.07941497802734312
0.06,0.14,0.07953069051106709
0.06,0.15,0.07964385986328062
0.06,0.16,0.07975448608398375
0.06,0.17,0.07986447652180928
0.06,0.18,0.07997192382812437
