Rg1,Rg2,Rg3,Erro
0.01,0.01,0.01,0.09180447896321553
0.01,0.01,0.02,0.09196278889973897
0.01,0.01,0.03,0.09211601257324156
0.01,0.01,0.04,0.09226605733235616
0.01,0.01,0.05,0.0924110158284499
0.01,0.01,0.06,0.09255470275878844
0.01,0.01,0.07,0.09269393920898375
0.01,0.01,0.08,0.09283126831054625
0.01,0.01,0.09,0.09296478271484312
0.01,0.01,0.1,0.09309638977050719
0.01,0.01,0.11,0.09322481791178323
0.01,0.01,0.12,0.09335070292154886
0.01,0.01,0.13,0.09347531636555928
0.01,0.01,0.14,0.09359611511230406
0.01,0.01,0.15,0.09371500651041605
0.01,0.01,0.16,0.09383262634277281
0.01,0.01,0.17,0.09394770304361917
0.01,0.01,0.18,0.09406087239583272
0.01,0.01,0.19,0.09417149861653584
0.01,0.01,0.2,0.09428148905436136
0.01,0.02,0.01,0.09154317220052022
0.01,0.02,0.02,0.09170338948567647
0.01,0.02,0.03,0.09185852050781187
0.01,0.02,0.04,0.09200856526692647
0.01,0.02,0.05,0.09215606689453062
0.01,0.02,0.06,0.09230038960774678
0.01,0.02,0.07,0.0924415334065749
0.01,0.02,0.08,0.0925788625081374
0.01,0.02,0.09,0.09271428426106709
0.01,0.02,0.1,0.09284652709960875
0.01,0.02,0.11,0.09297622680664
0.01,0.02,0.12,0.09310465494791605
0.01,0.02,0.13,0.09322926839192647
0.01,0.02,0.14,0.09335070292154886
0.01,0.02,0.15,0.09347213745117125
0.01,0.02,0.16,0.09358975728352803
0.01,0.02,0.17,0.09370610555012959
0.01,0.02,0.18,0.09382054646809834
0.01,0.02,0.19,0.09393244425455667
0.01,0.02,0.2,0.0940430704752598
0.01,0.03,0.01,0.09129076639811136
0.01,0.03,0.02,0.09145161946614522
0.01,0.03,0.03,0.09160865783691344
0.01,0.03,0.04,0.09175933837890562
0.01,0.03,0.05,0.09190874735514261
0.01,0.03,0.06,0.09205434163411397
0.01,0.03,0.07,0.09219548543294209
0.01,0.03,0.08,0.092335357666015
0.01,0.03,0.09,0.0924720509846999
0.01,0.03,0.1,0.09260620117187437
0.01,0.03,0.11,0.09273653666178323
0.01,0.03,0.12,0.09286432902018167
0.01,0.03,0.13,0.0929908498128249
0.01,0.03,0.14,0.0931135559082025
0.01,0.03,0.15,0.0932356262207025
0.01,0.03,0.16,0.09335388183593687
0.01,0.03,0.17,0.09347150166829366
0.01,0.03,0.18,0.09358657836914
